SNP	GR	p	oddsratio	CIl	CIh	zScore	FE	FA	BE	BA
rs13149699	introns	0.365770638984857	1.04606430592666	0.949369258926501	1.15255885682932	4.48354310628358	906	948	8367	9158
rs13149699	enhancer	0.187842372349477	0.557352673430969	0.199392122706212	1.25954532975873	-1.42003889359152	6	948	104	9158
rs13149699	promoter_flanking_region	0.566023084591678	0.787184174160874	0.382385540250341	1.46073205332803	-0.770758016049455	11	948	135	9158
rs13149699	promoter	0.0113087021241372	0.422334923221338	0.179059044323279	0.853600289846327	-2.48471461328077	8	948	183	9158
rs13149699	fiveUTRs	1	0.905658562498148	0.177113189502047	2.90345005264105	-0.164469157581303	3	948	32	9158
rs13149699	exons	0.03312480909453	0.477079711691436	0.201879941260182	0.96681872222492	-2.10831426776969	8	948	162	9158
rs13149699	CTCF_binding_site	0.316571207331469	0.42937376634615	0.0503815288199071	1.64834155200106	-1.20795502558614	2	948	45	9158
rs13149699	threeUTRs	0.0230541955540029	0.230026858225304	0.0273628313593892	0.859670052360957	-2.25359509042436	2	948	84	9158
rs13149699	open_chromatin_region	0.576901717063053	0.536711246545612	0.0625137393091287	2.09041170095101	-0.872184898152717	2	948	36	9158
