SNP	CS	p	oddsratio	CIl	CIh	zScore	FE	FA	BE	BA
rs13149699	5_TxWk	1	0.967077937077702	0.634517001498037	1.42323932244221	-0.176582436119083	29	873	365	10626
rs13149699	7_Enh	0.171385860201775	0.746421983174901	0.47907132952973	1.11713767847415	-1.48226154607293	26	873	424	10626
rs13149699	14_ReprPCWk	0.217801977114114	0.775826226892011	0.510390349906605	1.13802288534528	-1.35803400567471	29	873	455	10626
rs13149699	15_Quies	0.514575749680147	1.03702331562609	0.930971483814165	1.15460701151305	1.63562379402013	640	873	7512	10626
rs13149699	9_Het	0.344472940031326	1.11778019133974	0.87001618983932	1.42066096381021	1.00274389455663	81	873	882	10626
rs13149699	4_Tx	0.00617116195843758	0.612439587125952	0.412549443227262	0.88037135791754	-2.81675902653541	32	873	636	10626
rs13149699	11_BivFlnk	0.374305325914368	1.62281302637549	0.179772977733261	6.99575106955324	0.650032752765305	2	873	15	10626
rs13149699	2_TssAFlnk	0.137942128545195	1.83708441760527	0.751914459139792	3.90542537482701	1.63285060497253	8	873	53	10626
rs13149699	1_TssA	0.362401548666483	1.47529985401116	0.378826199703329	4.16178780630081	0.740404384440481	4	873	33	10626
rs13149699	13_ReprPC	0.552294481663498	1.15137303936769	0.611712676264188	2.00465494683996	0.508159769257973	14	873	148	10626
rs13149699	8_ZNF/Rpts	0.145124841475502	1.92178453600641	0.662107570809016	4.5996833041651	1.51663127789162	6	873	38	10626
rs13149699	12_EnhBiv	1	0.936297478062324	0.107522790569423	3.75024179470089	-0.0898310853173975	2	873	26	10626
rs13149699	6_EnhG	0.371790642657865	0.296892828432107	0.00733429926205728	1.75399215609572	-1.27734836582704	1	873	41	10626
